deck_A_loss,deck_B_loss,deck_C_loss,deck_D_loss,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,defining_variables.started,defining_variables.stopped,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,time_instructions.started,key_instruct_3.started,time_instructions.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,Task.started,current_total.started,deck_A.started,deck_B.started,deck_C.started,deck_D.started,deck_A_label.started,deck_B_label.started,deck_C_label.started,deck_D_label.started,mouse.started,Task.stopped,condition,reward,loss,total,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,gamble_result.started,text.started,gamble_result.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,0.104366791,0.104810416,0.104824083,0.138023916,7.868752583,space,7.6983615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
,,,,,,,,,,,,,,,,,,,,,,7.868792666,7.913985875,14.15938192,space,6.244049917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,0,0,0,0,0,0,0,3,24.21374296,,,,,,,,,,,,,,,,14.15942396,14.19564667,24.16872558,24.18725033,24.21374296,24.21374296,24.21374296,24.21374296,24.21374296,24.21374296,24.21374296,24.21374296,24.21374296,0.037894416,25.38149583,sufficient_time,100,250,1850,[-0.5977777777777777],[0.06444444444444444],[1],[0],[0],[1.1835176249996948],['deck_A'],25.38243433,25.39320325,28.38537083,,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,0,0,0,0,0,1,1,8,28.40464604,,,,,,,,,,,,,,,,,,,28.38571454,28.40464604,28.40464604,28.40464604,28.40464604,28.40464604,28.40464604,28.40464604,28.40464604,28.40464604,0.007770791,29.13767233,sufficient_time,100,0,1950,[-0.23333333333333334],[0.03222222222222222],[1],[0],[0],[0.7467895830000089],['deck_B'],29.13818642,29.15156233,32.13601513,32.15752479,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,1250,50,250,0,0,0,0,0,2,2,0,32.15752479,,,,,,,,,,,,,,,,,,,32.13643796,32.15752479,32.15752479,32.15752479,32.15752479,32.15752479,32.15752479,32.15752479,32.15752479,32.15752479,0.003820459,32.83018438,sufficient_time,50,50,1950,[0.11555555555555555],[0.024444444444444446],[1],[0],[0],[0.6875145829999383],['deck_C'],32.83069117,32.83971742,35.82551492,35.84063763,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
250,0,50,0,0,0,0,0,0,3,3,4,35.84063763,,,,,,,,,,,,,,,,,,,35.82589125,35.84063763,35.84063763,35.84063763,35.84063763,35.84063763,35.84063763,35.84063763,35.84063763,35.84063763,0.010089375,36.16355429,sufficient_time,50,0,2000,[0.5522222222222222],[0.10555555555555556],[1],[0],[0],[0.32239795800023785],['deck_D'],36.16408583,36.17251696,39.15936158,39.17919025,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,0,0,0,0,0,4,4,9,39.17919025,,,,,,,,,,,,,,,,,,,39.15976817,39.17919025,39.17919025,39.17919025,39.17919025,39.17919025,39.17919025,39.17919025,39.17919025,39.17919025,0.000307042,39.48774175,sufficient_time,50,0,2050,[0.1988888888888889],[0.052222222222222225],[1],[0],[0],[0.3226755000000594],['deck_C'],39.48824333,39.49382629,42.47702833,42.49569404,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,0,0,0,0,0,5,5,7,42.49569404,,,,,,,,,,,,,,,,,,,42.47744525,42.49569404,42.49569404,42.49569404,42.49569404,42.49569404,42.49569404,42.49569404,42.49569404,42.49569404,0.007637292,44.02090725,sufficient_time,100,0,2150,[-0.2511111111111111],[0.06666666666666667],[1],[0],[0],[1.5246212910001304],['deck_B'],44.02143796,44.02946563,47.01917796,47.03944721,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,0,0,0,0,0,6,6,6,47.03944721,,,,,,,,,,,,,,,,,,,47.01958004,47.03944721,47.03944721,47.03944721,47.03944721,47.03944721,47.03944721,47.03944721,47.03944721,47.03944721,0.002725625,47.30922413,sufficient_time,100,0,2250,[-0.2511111111111111],[0.06666666666666667],[1],[0],[0],[0.28437374999975873],['deck_B'],47.30976767,47.31909613,50.30300508,50.32322525,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
0,0,0,0,0,0,0,0,0,7,7,5,50.32322525,,,,,,,,,,,,,,,,,,,50.30342571,50.32322525,50.32322525,50.32322525,50.32322525,50.32322525,50.32322525,50.32322525,50.32322525,50.32322525,0.013631208,50.81367604,sufficient_time,100,0,2350,[-0.24666666666666667],[0.06666666666666667],[1],[0],[0],[0.4898130830001719],['deck_B'],50.814194,50.81925475,53.80335029,53.82499388,swara,1,2024-04-09_08h26.10.966,IOWA_Gambling_Task_incase,2023.2.2,None,2024-04-09 08h26.22.322222 +0530
